"id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","doi","x","y","area_uri","cluster_labels","area","readers","file_hash"
"core_ac_uk__::2346d5f08f0a608d5528a15445cf0ae1","QA75","Digital Creativity in Dementia Care Support","Zachos, K.","2013-10-02","","","","","http://openaccess.city.ac.uk/3835/1/Digital%20Creativity%20in%20Dementia%20Care%20Support.pdf","This paper reports the application of digital creativity to the care for people with dementia. A digital app\ud was developed for use by staff in residential homes caring for people with dementia. The app invokes a\ud set of computational services to undertake creative work, the results of which are presented to encourage\ud and support cognitive creativity by care staff. The services undertake computational work such as\ud retrieving resolutions to care problems encountered previously, matching care situations to situations in\ud analogical domains such as parenting, teaching and prison life, and automatically generating customized\ud creativity prompts. The app was designed so that care staff can generate contributions to resident care\ud plans that are novel and hence individualized to the resident as part of a shift towards more person-centred\ud care.","10.1504/IJCRC.2013.056924","0.4304","-0.3361","4","Dementia care, Creativity in dementia, Qa75","Dementia care, Creativity in dementia, Qa75","",""
"core_ac_uk__::26d615e4867689688dc0ad1dcb60dd9f","QA75","Supporting reflection and creative thinking by carers of older people with dementia","Karlsen, I. K.","2011-01-01","IEEE","","","","http://openaccess.city.ac.uk/2805/1/Pervasive%20Care%20for%20People%20with%20Dementia%20and%20their%20Carers%5B1%5D.pdf","This vision paper frames requirements engineering as a creative problem solving process. Its purpose is to enable requirements researchers and practitioners to recruit relevant theories, models, techniques and tools from creative problem solving to understand and support requirements processes more effectively. It uses 4 drivers to motivate the case for requirements engineering as a creative problem solving process. It then maps established requirements activities onto one of the longest-established creative problem solving processes, and uses these mappings to locate opportunities for the application of creative problem solving in requirements engineering. The second half of the paper describes selected creativity theories, techniques, software tools and training that can be adopted to improve requirements engineering research and practice. The focus is on support for problem and idea finding - two creative problem solving processes that our investigation revealed are poorly supported in requirements engineering. The paper ends with a research agenda to incorporate creative processes, techniques, training and tools in requirements projects.","10.4108/icst.pervasivehealth.2011.246124","-0.2988","-0.5019","11","Qa75","Qa75","",""
"core_ac_uk__::420eb75b9436792a5d97d1de0a9f19e6","RC","Using mobile devices and apps to support reflective learning about older people with dementia","Pitts, K.","2015-03-24","Taylor and Francis Ltd.","","","","http://openaccess.city.ac.uk/8312/6/BIT2015AcceptedVersion.pdf","There has been little research to develop computing technologies to support the care of people with dementia, in spite of the growing challenges that the condition poses for society. To design such technologies, an existing model of computer-support reflective learning was instantiated with findings from a pre-design study in one residential home. The result was a mobile device running an adapted enterprise social media app to support person-centred care. Evaluations of the device and app in two residential homes revealed that use of the app both motivated and increased different styles of care note recording, but little reflective learning was identified or reported. The results suggest the need for more comprehensive and flexible computer-based support for reflective learning about residents in their care – and new designs of this more comprehensive support are also introduced.","10.1080/0144929X.2015.1015165","0.0374","-0.0126","9","People with dementia, Older people","People with dementia, Older people","",""
"core_ac_uk__::48d8c0916217e85de2f721d11fc85589","LC","Creativity Support for Learning in the Person-Centred Care of Older People with Dementia","Pitts, K.","2013-01-01","","","","","http://openaccess.city.ac.uk/3834/1/Creativity%20Support%20for%20Learning%20in%20the%20Person%20Centred.pdf","We are exploring mechanisms to enhance the person-centred care of older people with dementia with tailored creative thinking and reflective learning techniques. In this paper we report a new tablet-based app to support carers and older people to reminisce, think creatively and learn through reflection. Creativity support is offered though a service that implements the creativity triggers technique adapted to a model of person-centered dementia care.","","0.0561","-0.2487","9","People with dementia, Older people","People with dementia, Older people","",""
"core_ac_uk__::85b00e2b752fbd6f862c2b42c18a1f15","ComputingMilieux_PERSONALCOMPUTING","Creativity Support in a Serious Game for Dementia Care","Sisarica, A.","2013-01-01","","","","","http://openaccess.city.ac.uk/3838/1/Creativity%20Support%20in%20a%20Serious%20Game%20for%20Dementia%20Care.pdf","This paper advocates the use of computer-based serious games as a form of creativity support tool. Whilst the use of serious games has grown considerably in recent years, support for players to think creatively is often implicit in the game, and does not exploit the wide range of creativity techniques and software tools available. This paper makes the case for explicit creativity support in serious games, explores how implicit creativity support can be delivered in game play, and extends one reported model of serious game play with activities in which players deploy different forms of supported creative thinking. The model is then applied to inform 2 versions of a serious game developed to train carers in creativity techniques to deliver more person-centered care to people with dementia. Each version of the game was delivered as a prototype to support playtesting of the game and its effect on carer training.","10.1145/2466627.2466668","-0.0329","-0.5485","7","Computingmilieux personalcomputing","Computingmilieux personalcomputing","",""
"core_ac_uk__::a73473d8e715be0c50724ef71b03f639","ComputingMilieux_PERSONALCOMPUTING","An Emerging Model of Creative Game-based Learning","Sisarica, A.","2013-09-25","","","","","http://openaccess.city.ac.uk/3832/1/An%20Emerging%20Model%20of%20Creative%20Game%20based%20Learning.pdf","We consider the integration of creative approaches to problem solving into pervasive games is a natural extension of play for creative thinking – one that can innovatively drive technology-led changes to the facilitation of creative thinking and pose a new genre in serious gaming for learning. This paper presents an initial proposal of a new model of creative game-base learning (CGBL), which emerged through mapping of established characteristics of climates that encourage creativity and innovation to characteristics of effective serious games.","10.1007/978-3-642-40790-1_25","-0.187","-0.6448","7","Computingmilieux personalcomputing","Computingmilieux personalcomputing","",""
"core_ac_uk__::c10085026f5359bf4cef2a5300e5e218","RC","Evoking Emotion through Stories in Creative Dementia Care","Thompson, C.","2013-01-01","","","","","http://openaccess.city.ac.uk/3836/1/Evoking%20Emotion%20through%20Stories%20in%20Creative%20Dementia.pdf","This paper reports research to refine the design of a mobile creativity support app to improve person-centred care for older people with dementia. One barrier to previous app use during creative thinking appeared to be the negative activation emotions associated with problem avoidance and prevention exhibited by care staff when resolving challenging behaviours. Therefore we investigated the redesign of the app’s content so that care staff were more likely to positive activation associated with creative thinking through storytelling through a first formative evaluation.","","0.2327","-0.447","4","Dementia care, Creativity in dementia, Qa75","Dementia care, Creativity in dementia, Qa75","",""
"core_ac_uk__::d5739f23dedbb978e96cb2385396774f","QA75","A software app to support creativity in dementia care","Zachos, K.","2013-01-01","","","","","http://openaccess.city.ac.uk/3837/1/A%20Software%20App%20to%20Support%20Creativity%20in%20Dementia%20Care.pdf","This paper reports a new mobile software app to support creative thinking by carers for people with dementia. The design of the app was informed by both pre-studies that demonstrated the potential of investigating challenging behaviors in non-care domains to improve person-centered care, and a model of creative problem solving adapted to dementia care. The resulting app implements different versions of the Other Worlds creativity technique to generate then reflect on ideas to improve resident care. An evaluation of the app in one residential home revealed that carers were able to use the app as described in the model, and deliver novel care to one resident in the home.","10.1145/2466627.2466637","0.2844","-0.2941","4","Dementia care, Creativity in dementia, Qa75","Dementia care, Creativity in dementia, Qa75","",""
"core_ac_uk__::ff9fa93f939582ae538498c7a4501761","QA75","A Computational Model of Analogical Reasoning in Dementia Care","Zachos, K.","2013-01-01","","","","","http://openaccess.city.ac.uk/3831/1/A%20Computational%20Model%20of%20Analogical%20Reasoning%20in%20Dementia%20Care.pdf","This paper reports a practical application of a computational model of analogical reasoning to a pressing social problem, which is to improve the care of older people with dementia. Underpinning the support for carers for people with dementia is a computational model of analogical reasoning that retrieves information about cases from analogical problem domains. The model implements structure-mapping theory adapted to match source and target domains expressed in unstructured natural language. The model is implemented as a computational service invoked by a mobile app used by carers during their care shifts.","","0.611","-0.137","2","Qa75","Qa75","",""
"dedup_wf_001::0d965733e90177f9053d3707a1a55491","hospitals","Web-Based Apps for Reflection: A Longitudinal Study With Hospital Staff","Renner, Bettina","2014-03-01","JMIR Publications Inc.","","","Journal of Medical Internet Research","","Background Reflection is an important cognitive process in workplace learning; however, it occurs only rarely on its own and therefore needs additional support. Objective In this study, we investigated the effect of software applications (apps) that aim to support reflection on hospital staff’s actual reflection behavior. In doing so, we also analyzed the relationship between reflection and the job satisfaction of health care professionals. Methods Reflective learning was introduced in the ward of a neurological hospital by providing apps that aimed to foster particular aspects of individual and collaborative reflection. Data were collected repeatedly: once before the introduction of the apps and again 2 years after the initial measure. We used a questionnaire with subjective ratings of reflection and job satisfaction. Response rates were 34.4% (167/485) for the first and 40.6% (210/517) for the second measure. Results Collaborative reflection was increased (P=.047) after the provision of the apps (2010: mean 2.84, SD 0.72; 2012: mean 3.06, SD 0.63) in contrast to a control group of other wards of the same hospital (2010: mean 2.68, SD 0.67; 2012: mean 2.63, SD 0.68). In addition, we revealed a positive correlation between collaborative reflection and job satisfaction (r=.61, P<.001). Conclusions The findings provide evidence for an effect of the apps on hospital employees’ reflection behavior. Apps that foster reflective learning can increase health care professionals’ reflection about work experiences and support them in discussing experiences in teams or with their supervisors. The relationship between collaborative reflection and job satisfaction suggests that opportunities for joint reflection on work experiences in a hospital have further impact over and above fostering reflective learning per se. We discuss the limitations of our study and provide suggestions for both future research and the development of Web-based apps.","10.2196/jmir.3040","-0.1691","0.2456","6","Hospitals","Hospitals","",""
